epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,336.956,1.1744,1.64183,1.15362,0.55013,0.55275,0.54387,0.37469,1.11724,1.32103,1.16816,0.009989,0.00332967,0.009989,0.00332967,0.009989,0.00332967,0.009989,0.00332967
2,628.221,1.22682,1.40713,1.16939,0.5231,0.4973,0.4779,0.32266,1.20728,1.49861,1.22508,0.0197911,0.00659704,0.0197911,0.00659704,0.0197911,0.00659704,0.0197911,0.00659704
3,877.977,1.3222,1.53118,1.22054,0.40892,0.40862,0.34627,0.22389,1.3762,2.05222,1.33335,0.0293952,0.00979841,0.0293952,0.00979841,0.0293952,0.00979841,0.0293952,0.00979841
4,1123.72,1.36972,1.61592,1.26509,0.47084,0.46599,0.45115,0.29139,1.27521,1.54426,1.28401,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1369.73,1.31466,1.49607,1.24226,0.704,0.4645,0.51795,0.3471,1.2268,1.42722,1.2568,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1615.54,1.28127,1.40729,1.22348,0.70273,0.46035,0.50089,0.33681,1.21548,1.37455,1.2559,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1861.23,1.24509,1.33657,1.2141,0.57383,0.57498,0.57461,0.39634,1.1525,1.23007,1.2208,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2109.59,1.21733,1.28643,1.19843,0.62558,0.56482,0.58807,0.40596,1.13311,1.19374,1.20613,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2352.06,1.19332,1.24184,1.19037,0.59584,0.57658,0.60346,0.41832,1.13339,1.18413,1.20525,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2591.5,1.1714,1.18908,1.1724,0.65641,0.56205,0.62698,0.43489,1.10388,1.11082,1.17952,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2836.28,1.15111,1.14073,1.16406,0.6846,0.58744,0.64655,0.45526,1.09606,1.06338,1.17771,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3081.61,1.13749,1.11535,1.14812,0.6039,0.6326,0.6541,0.461,1.0857,1.05509,1.16859,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3356.84,1.13488,1.09237,1.14834,0.68655,0.64686,0.67912,0.48501,1.06523,0.99518,1.16485,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3642.38,1.11888,1.06944,1.13828,0.8137,0.55645,0.65203,0.45827,1.08031,1.06967,1.16902,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3921.92,1.11224,1.07224,1.14306,0.65131,0.66703,0.68889,0.49656,1.04263,0.96291,1.14932,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4197.75,1.09992,1.02679,1.13426,0.68834,0.66087,0.69567,0.50414,1.04371,0.95141,1.14557,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4481.98,1.09156,1.00818,1.12795,0.74286,0.6459,0.70523,0.50599,1.04626,0.94889,1.14905,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4763.82,1.08737,0.99427,1.12355,0.70791,0.65561,0.69624,0.50733,1.02243,0.91408,1.13861,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5045.86,1.07426,0.96994,1.11744,0.69193,0.66172,0.6984,0.50649,1.02765,0.92464,1.13578,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5328.73,1.07083,0.96049,1.11619,0.7107,0.68031,0.72121,0.52134,1.02908,0.90283,1.13959,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5611.95,1.06189,0.95168,1.11009,0.72204,0.66612,0.71319,0.52323,1.0227,0.89839,1.136,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5891.91,1.06251,0.93885,1.11332,0.69483,0.67563,0.71144,0.5189,1.00918,0.87947,1.13406,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,6174.32,1.04753,0.91048,1.10228,0.73312,0.67464,0.7208,0.53233,1.00514,0.8768,1.12503,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6456.28,1.03988,0.90956,1.09585,0.72901,0.696,0.7299,0.53624,1.01191,0.85571,1.13332,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
