cell_id,latitude,longitude,relative_occurrence_score,species_slug,scientific_name,selected_model
912:2834,1.25,103.45,0.623902574101966,green_sea_turtle,Chelonia mydas,random_forest
912:2835,1.25,103.55,0.6033675285164339,green_sea_turtle,Chelonia mydas,random_forest
913:2830,1.35,103.05,0.5570872375390324,green_sea_turtle,Chelonia mydas,random_forest
913:2831,1.35,103.15,0.6208369950284393,green_sea_turtle,Chelonia mydas,random_forest
913:2832,1.35,103.25,0.6264182734369358,green_sea_turtle,Chelonia mydas,random_forest
913:2833,1.35,103.35,0.6248959658672074,green_sea_turtle,Chelonia mydas,random_forest
913:2842,1.35,104.25,0.3556643956976386,green_sea_turtle,Chelonia mydas,random_forest
913:2843,1.35,104.35,0.2275471727926648,green_sea_turtle,Chelonia mydas,random_forest
913:2913,1.35,111.35,0.007626971807170963,green_sea_turtle,Chelonia mydas,random_forest
914:2829,1.45,102.95,0.5240431252829968,green_sea_turtle,Chelonia mydas,random_forest
914:2830,1.45,103.05,0.5570872375390324,green_sea_turtle,Chelonia mydas,random_forest
914:2831,1.45,103.15,0.6208369950284393,green_sea_turtle,Chelonia mydas,random_forest
914:2832,1.45,103.25,0.6264182734369358,green_sea_turtle,Chelonia mydas,random_forest
914:2833,1.45,103.35,0.6248959658672074,green_sea_turtle,Chelonia mydas,random_forest
914:2837,1.45,103.75,0.5626738865240642,green_sea_turtle,Chelonia mydas,random_forest
914:2840,1.45,104.05,0.4681874565233026,green_sea_turtle,Chelonia mydas,random_forest
914:2843,1.45,104.35,0.2275471727926648,green_sea_turtle,Chelonia mydas,random_forest
914:2910,1.45,111.05,0.007626971807170963,green_sea_turtle,Chelonia mydas,random_forest
915:2828,1.55,102.85,0.4346629979178458,green_sea_turtle,Chelonia mydas,random_forest
915:2829,1.55,102.95,0.5240431252829968,green_sea_turtle,Chelonia mydas,random_forest
915:2830,1.55,103.05,0.5570872375390324,green_sea_turtle,Chelonia mydas,random_forest
915:2831,1.55,103.15,0.6208369950284393,green_sea_turtle,Chelonia mydas,random_forest
915:2832,1.55,103.25,0.6264182734369358,green_sea_turtle,Chelonia mydas,random_forest
915:2843,1.55,104.35,0.2275471727926648,green_sea_turtle,Chelonia mydas,random_forest
915:2844,1.55,104.45,0.1980339825734374,green_sea_turtle,Chelonia mydas,random_forest
915:2845,1.55,104.55,0.22360694746251344,green_sea_turtle,Chelonia mydas,random_forest
915:2846,1.55,104.65,0.2281879572499314,green_sea_turtle,Chelonia mydas,random_forest
915:2907,1.55,110.75,0.007626971807170963,green_sea_turtle,Chelonia mydas,random_forest
