cell_id,latitude,longitude,relative_occurrence_score,species_slug,scientific_name,selected_model
912:2834,1.25,103.45,0.5528146179945216,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
912:2835,1.25,103.55,0.5583012066672812,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
913:2830,1.35,103.05,0.5095966860654845,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
913:2831,1.35,103.15,0.5151484634394086,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
913:2832,1.35,103.25,0.5206965046219661,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
913:2833,1.35,103.35,0.5262394453174627,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
913:2842,1.35,104.25,0.5756748049696951,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
913:2843,1.35,104.35,0.5810934542245483,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
913:2913,1.35,111.35,0.8679243706789324,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
914:2829,1.45,102.95,0.48285579105151655,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
914:2830,1.45,103.05,0.48840638213447385,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
914:2831,1.45,103.15,0.4939598337358861,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
914:2832,1.45,103.25,0.4995147762246198,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
914:2833,1.45,103.35,0.5050698384979481,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
914:2837,1.45,103.75,0.52726388764784,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
914:2840,1.45,104.05,0.5438437711367314,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
914:2843,1.45,104.35,0.5603270550224991,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
914:2910,1.45,111.05,0.8495777080867268,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
915:2828,1.55,102.85,0.45621272747543484,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
