cell_id,latitude,longitude,relative_occurrence_score,species_slug,scientific_name,selected_model
912:2834,1.25,103.45,0.23505956842454204,moorish_idol,Zanclus cornutus,random_forest
912:2835,1.25,103.55,0.23300786774426993,moorish_idol,Zanclus cornutus,random_forest
913:2830,1.35,103.05,0.26404642058975913,moorish_idol,Zanclus cornutus,random_forest
913:2831,1.35,103.15,0.26404642058975913,moorish_idol,Zanclus cornutus,random_forest
913:2832,1.35,103.25,0.24108234505917653,moorish_idol,Zanclus cornutus,random_forest
913:2833,1.35,103.35,0.2357671808004183,moorish_idol,Zanclus cornutus,random_forest
913:2842,1.35,104.25,0.14841356100729847,moorish_idol,Zanclus cornutus,random_forest
913:2843,1.35,104.35,0.1133489553042231,moorish_idol,Zanclus cornutus,random_forest
913:2913,1.35,111.35,0.08337233837816826,moorish_idol,Zanclus cornutus,random_forest
914:2829,1.45,102.95,0.2623695397120162,moorish_idol,Zanclus cornutus,random_forest
914:2830,1.45,103.05,0.26404642058975913,moorish_idol,Zanclus cornutus,random_forest
914:2831,1.45,103.15,0.26404642058975913,moorish_idol,Zanclus cornutus,random_forest
914:2832,1.45,103.25,0.24108234505917653,moorish_idol,Zanclus cornutus,random_forest
914:2833,1.45,103.35,0.2357671808004183,moorish_idol,Zanclus cornutus,random_forest
914:2837,1.45,103.75,0.23218830252687864,moorish_idol,Zanclus cornutus,random_forest
914:2840,1.45,104.05,0.2328471814630685,moorish_idol,Zanclus cornutus,random_forest
914:2843,1.45,104.35,0.1133489553042231,moorish_idol,Zanclus cornutus,random_forest
914:2910,1.45,111.05,0.08337233837816826,moorish_idol,Zanclus cornutus,random_forest
915:2828,1.55,102.85,0.2623695397120162,moorish_idol,Zanclus cornutus,random_forest
915:2829,1.55,102.95,0.2623695397120162,moorish_idol,Zanclus cornutus,random_forest
915:2830,1.55,103.05,0.26404642058975913,moorish_idol,Zanclus cornutus,random_forest
915:2831,1.55,103.15,0.26404642058975913,moorish_idol,Zanclus cornutus,random_forest
915:2832,1.55,103.25,0.24108234505917653,moorish_idol,Zanclus cornutus,random_forest
915:2843,1.55,104.35,0.1133489553042231,moorish_idol,Zanclus cornutus,random_forest
915:2844,1.55,104.45,0.1021842933077384,moorish_idol,Zanclus cornutus,random_forest
915:2845,1.55,104.55,0.09362845515221405,moorish_idol,Zanclus cornutus,random_forest
915:2846,1.55,104.65,0.09362845515221405,moorish_idol,Zanclus cornutus,random_forest
915:2907,1.55,110.75,0.08396995973739158,moorish_idol,Zanclus cornutus,random_forest
915:2909,1.55,110.95,0.08337233837816826,moorish_idol,Zanclus cornutus,random_forest
916:2826,1.65,102.65,0.25265797851451816,moorish_idol,Zanclus cornutus,random_forest
916:2827,1.65,102.75,0.25265797851451816,moorish_idol,Zanclus cornutus,random_forest
916:2828,1.65,102.85,0.2623695397120162,moorish_idol,Zanclus cornutus,random_forest
916:2829,1.65,102.95,0.2623695397120162,moorish_idol,Zanclus cornutus,random_forest
916:2830,1.65,103.05,0.26404642058975913,moorish_idol,Zanclus cornutus,random_forest
916:2839,1.65,103.95,0.23077653782099627,moorish_idol,Zanclus cornutus,random_forest
916:2842,1.65,104.25,0.14841356100729847,moorish_idol,Zanclus cornutus,random_forest
916:2843,1.65,104.35,0.1133489553042231,moorish_idol,Zanclus cornutus,random_forest
916:2844,1.65,104.45,0.1021842933077384,moorish_idol,Zanclus cornutus,random_forest
916:2845,1.65,104.55,0.09362845515221405,moorish_idol,Zanclus cornutus,random_forest
916:2846,1.65,104.65,0.09362845515221405,moorish_idol,Zanclus cornutus,random_forest
916:2847,1.65,104.75,0.09362845515221405,moorish_idol,Zanclus cornutus,random_forest
916:2848,1.65,104.85,0.09362845515221405,moorish_idol,Zanclus cornutus,random_forest
916:2902,1.65,110.25,0.08471445977010279,moorish_idol,Zanclus cornutus,random_forest
916:2903,1.65,110.35,0.08471445977010279,moorish_idol,Zanclus cornutus,random_forest
916:2905,1.65,110.55,0.0845084212758531,moorish_idol,Zanclus cornutus,random_forest
916:2906,1.65,110.65,0.0845084212758531,moorish_idol,Zanclus cornutus,random_forest
916:2907,1.65,110.75,0.08396995973739158,moorish_idol,Zanclus cornutus,random_forest
916:2908,1.65,110.85,0.08396995973739158,moorish_idol,Zanclus cornutus,random_forest
916:2909,1.65,110.95,0.08337233837816826,moorish_idol,Zanclus cornutus,random_forest
916:2911,1.65,111.15,0.08337233837816826,moorish_idol,Zanclus cornutus,random_forest
917:2825,1.75,102.55,0.25265797851451816,moorish_idol,Zanclus cornutus,random_forest
