cell_id,latitude,longitude,scientific_name,species_slug,label,label_source,observation_count,source_dataset_count,example_occurrence_id,example_dataset_name,example_event_date
915:2907,1.55,110.75,Orcaella brevirostris,irrawaddy_dolphin,1,OBIS_presence_grid,2,1,744_82,"Distribution of small cetaceans in the nearshore waters of Sarawak, East Malaysia",2009-05-21T13:52
916:2902,1.65,110.25,Orcaella brevirostris,irrawaddy_dolphin,1,OBIS_presence_grid,9,1,744_20,"Distribution of small cetaceans in the nearshore waters of Sarawak, East Malaysia",2008-07-15T07:45
916:2905,1.65,110.55,Orcaella brevirostris,irrawaddy_dolphin,1,OBIS_presence_grid,1,1,744_79,"Distribution of small cetaceans in the nearshore waters of Sarawak, East Malaysia",2009-05-20T07:56
917:2901,1.75,110.15,Orcaella brevirostris,irrawaddy_dolphin,1,OBIS_presence_grid,1,1,744_67,"Distribution of small cetaceans in the nearshore waters of Sarawak, East Malaysia",2009-03-06T12:31
917:2902,1.75,110.25,Orcaella brevirostris,irrawaddy_dolphin,1,OBIS_presence_grid,13,1,744_31,"Distribution of small cetaceans in the nearshore waters of Sarawak, East Malaysia",2008-09-16T10:47
917:2904,1.75,110.45,Orcaella brevirostris,irrawaddy_dolphin,1,OBIS_presence_grid,4,1,744_104,"Distribution of small cetaceans in the nearshore waters of Sarawak, East Malaysia",2009-09-08T09:26
933:2930,3.35,113.05,Orcaella brevirostris,irrawaddy_dolphin,1,OBIS_presence_grid,1,1,744_12,"Distribution of small cetaceans in the nearshore waters of Sarawak, East Malaysia",2008-06-12T15:16
933:2931,3.35,113.15,Orcaella brevirostris,irrawaddy_dolphin,1,OBIS_presence_grid,7,1,744_17,"Distribution of small cetaceans in the nearshore waters of Sarawak, East Malaysia",2008-06-13T15:41
935:2932,3.55,113.25,Orcaella brevirostris,irrawaddy_dolphin,1,OBIS_presence_grid,2,1,744_61,"Distribution of small cetaceans in the nearshore waters of Sarawak, East Malaysia",2009-02-20T12:02
936:2933,3.65,113.35,Orcaella brevirostris,irrawaddy_dolphin,1,OBIS_presence_grid,2,1,744_18,"Distribution of small cetaceans in the nearshore waters of Sarawak, East Malaysia",2008-06-13T10:00
943:2937,4.35,113.75,Orcaella brevirostris,irrawaddy_dolphin,1,OBIS_presence_grid,1,1,744_111,"Distribution of small cetaceans in the nearshore waters of Sarawak, East Malaysia",2009-09-15T13:52
914:2832,1.45,103.25,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
915:2844,1.55,104.45,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
918:2910,1.85,111.05,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
921:2822,2.15,102.25,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
921:2902,2.15,110.25,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
925:2849,2.55,104.95,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
928:2840,2.85,104.05,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
933:2836,3.35,103.65,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
933:2922,3.35,112.25,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
934:2923,3.45,112.35,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
934:2929,3.45,112.95,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
937:2988,3.75,118.85,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
941:2925,4.15,112.55,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
942:2926,4.25,112.65,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
942:2937,4.25,113.75,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
942:2982,4.25,118.25,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
943:2840,4.35,104.05,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
945:2908,4.55,110.85,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
952:2795,5.25,99.55,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
953:2797,5.35,99.75,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
954:2793,5.45,99.35,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
955:2849,5.55,104.95,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
956:2949,5.65,114.95,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
959:2802,5.95,100.25,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
959:2852,5.95,105.25,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
961:2950,6.15,115.05,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
962:2840,6.25,104.05,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
963:2954,6.35,115.45,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
964:2797,6.45,99.75,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
973:2943,7.35,114.35,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
974:2832,7.45,103.25,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
978:2951,7.85,115.15,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
983:2937,8.35,113.75,Orcaella brevirostris,irrawaddy_dolphin,0,sampled_EEZ_background_not_confirmed_absence,0,0,,,
