cell_id,latitude,longitude
912:2834,1.25,103.45
912:2835,1.25,103.55
913:2830,1.35,103.05
913:2831,1.35,103.15
913:2832,1.35,103.25
913:2833,1.35,103.35
913:2842,1.35,104.25
913:2843,1.35,104.35
913:2913,1.35,111.35
914:2829,1.45,102.95
914:2830,1.45,103.05
914:2831,1.45,103.15
914:2832,1.45,103.25
914:2833,1.45,103.35
914:2837,1.45,103.75
914:2840,1.45,104.05
914:2843,1.45,104.35
914:2910,1.45,111.05
915:2828,1.55,102.85
915:2829,1.55,102.95
915:2830,1.55,103.05
915:2831,1.55,103.15
915:2832,1.55,103.25
915:2843,1.55,104.35
915:2844,1.55,104.45
915:2845,1.55,104.55
915:2846,1.55,104.65
915:2907,1.55,110.75
915:2909,1.55,110.95
916:2826,1.65,102.65
916:2827,1.65,102.75
916:2828,1.65,102.85
916:2829,1.65,102.95
916:2830,1.65,103.05
916:2839,1.65,103.95
916:2842,1.65,104.25
916:2843,1.65,104.35
916:2844,1.65,104.45
916:2845,1.65,104.55
916:2846,1.65,104.65
916:2847,1.65,104.75
916:2848,1.65,104.85
916:2902,1.65,110.25
916:2903,1.65,110.35
916:2905,1.65,110.55
916:2906,1.65,110.65
916:2907,1.65,110.75
916:2908,1.65,110.85
916:2909,1.65,110.95
916:2911,1.65,111.15
917:2825,1.75,102.55
917:2826,1.75,102.65
917:2827,1.75,102.75
917:2828,1.75,102.85
917:2842,1.75,104.25
917:2843,1.75,104.35
917:2844,1.75,104.45
917:2845,1.75,104.55
917:2846,1.75,104.65
917:2847,1.75,104.75
917:2848,1.75,104.85
917:2849,1.75,104.95
917:2899,1.75,109.95
917:2900,1.75,110.05
917:2901,1.75,110.15
917:2902,1.75,110.25
917:2904,1.75,110.45
917:2905,1.75,110.55
917:2906,1.75,110.65
917:2907,1.75,110.75
917:2908,1.75,110.85
917:2909,1.75,110.95
917:2910,1.75,111.05
918:2823,1.85,102.35
918:2824,1.85,102.45
918:2825,1.85,102.55
918:2826,1.85,102.65
918:2827,1.85,102.75
918:2841,1.85,104.15
918:2842,1.85,104.25
918:2843,1.85,104.35
918:2844,1.85,104.45
918:2845,1.85,104.55
918:2846,1.85,104.65
918:2847,1.85,104.75
918:2848,1.85,104.85
918:2849,1.85,104.95
918:2897,1.85,109.75
918:2898,1.85,109.85
918:2899,1.85,109.95
918:2900,1.85,110.05
918:2901,1.85,110.15
918:2902,1.85,110.25
918:2903,1.85,110.35
918:2904,1.85,110.45
918:2905,1.85,110.55
918:2906,1.85,110.65
918:2907,1.85,110.75
918:2908,1.85,110.85
918:2909,1.85,110.95
918:2910,1.85,111.05
919:2822,1.95,102.25
919:2823,1.95,102.35
919:2824,1.95,102.45
919:2825,1.95,102.55
919:2841,1.95,104.15
919:2842,1.95,104.25
919:2843,1.95,104.35
919:2844,1.95,104.45
919:2845,1.95,104.55
919:2846,1.95,104.65
919:2847,1.95,104.75
919:2848,1.95,104.85
919:2849,1.95,104.95
919:2850,1.95,105.05
919:2896,1.95,109.65
919:2897,1.95,109.75
919:2898,1.95,109.85
919:2899,1.95,109.95
919:2900,1.95,110.05
919:2901,1.95,110.15
919:2902,1.95,110.25
919:2903,1.95,110.35
919:2904,1.95,110.45
919:2905,1.95,110.55
919:2906,1.95,110.65
919:2907,1.95,110.75
919:2908,1.95,110.85
919:2909,1.95,110.95
919:2910,1.95,111.05
919:2911,1.95,111.15
920:2821,2.05,102.15
920:2822,2.05,102.25
920:2823,2.05,102.35
920:2824,2.05,102.45
920:2825,2.05,102.55
920:2841,2.05,104.15
920:2842,2.05,104.25
920:2843,2.05,104.35
920:2844,2.05,104.45
920:2845,2.05,104.55
920:2846,2.05,104.65
920:2847,2.05,104.75
920:2848,2.05,104.85
920:2849,2.05,104.95
920:2850,2.05,105.05
920:2896,2.05,109.65
920:2897,2.05,109.75
920:2898,2.05,109.85
920:2899,2.05,109.95
920:2900,2.05,110.05
920:2901,2.05,110.15
920:2902,2.05,110.25
920:2903,2.05,110.35
920:2904,2.05,110.45
920:2905,2.05,110.55
920:2906,2.05,110.65
920:2907,2.05,110.75
920:2908,2.05,110.85
920:2909,2.05,110.95
920:2910,2.05,111.05
920:2911,2.05,111.15
921:2819,2.15,101.95
921:2820,2.15,102.05
921:2821,2.15,102.15
921:2822,2.15,102.25
921:2840,2.15,104.05
921:2841,2.15,104.15
921:2842,2.15,104.25
921:2843,2.15,104.35
921:2844,2.15,104.45
921:2845,2.15,104.55
921:2846,2.15,104.65
921:2847,2.15,104.75
921:2848,2.15,104.85
921:2849,2.15,104.95
921:2850,2.15,105.05
921:2897,2.15,109.75
921:2898,2.15,109.85
921:2899,2.15,109.95
921:2900,2.15,110.05
921:2901,2.15,110.15
921:2902,2.15,110.25
921:2903,2.15,110.35
921:2904,2.15,110.45
921:2905,2.15,110.55
921:2906,2.15,110.65
921:2907,2.15,110.75
921:2908,2.15,110.85
921:2909,2.15,110.95
921:2910,2.15,111.05
921:2911,2.15,111.15
921:2912,2.15,111.25
921:2913,2.15,111.35
921:2920,2.15,112.05
922:2818,2.25,101.85
922:2819,2.25,101.95
922:2820,2.25,102.05
922:2840,2.25,104.05
922:2841,2.25,104.15
922:2842,2.25,104.25
922:2843,2.25,104.35
922:2844,2.25,104.45
922:2845,2.25,104.55
922:2846,2.25,104.65
922:2847,2.25,104.75
922:2848,2.25,104.85
922:2849,2.25,104.95
922:2897,2.25,109.75
922:2898,2.25,109.85
922:2899,2.25,109.95
922:2900,2.25,110.05
922:2901,2.25,110.15
922:2902,2.25,110.25
922:2903,2.25,110.35
922:2904,2.25,110.45
922:2905,2.25,110.55
922:2906,2.25,110.65
922:2907,2.25,110.75
922:2908,2.25,110.85
922:2909,2.25,110.95
922:2910,2.25,111.05
922:2911,2.25,111.15
923:2817,2.35,101.75
923:2818,2.35,101.85
923:2819,2.35,101.95
923:2839,2.35,103.95
923:2840,2.35,104.05
923:2841,2.35,104.15
923:2842,2.35,104.25
923:2843,2.35,104.35
923:2844,2.35,104.45
923:2845,2.35,104.55
923:2846,2.35,104.65
923:2847,2.35,104.75
923:2848,2.35,104.85
923:2849,2.35,104.95
923:2897,2.35,109.75
923:2898,2.35,109.85
923:2899,2.35,109.95
923:2900,2.35,110.05
923:2901,2.35,110.15
923:2902,2.35,110.25
923:2903,2.35,110.35
923:2904,2.35,110.45
923:2905,2.35,110.55
923:2906,2.35,110.65
923:2907,2.35,110.75
923:2908,2.35,110.85
923:2909,2.35,110.95
923:2910,2.35,111.05
923:2911,2.35,111.15
923:2912,2.35,111.25
923:2913,2.35,111.35
924:2815,2.45,101.55
924:2816,2.45,101.65
924:2817,2.45,101.75
924:2818,2.45,101.85
924:2838,2.45,103.85
924:2839,2.45,103.95
924:2840,2.45,104.05
924:2841,2.45,104.15
924:2842,2.45,104.25
924:2843,2.45,104.35
924:2844,2.45,104.45
924:2845,2.45,104.55
924:2846,2.45,104.65
924:2847,2.45,104.75
924:2848,2.45,104.85
924:2849,2.45,104.95
924:2898,2.45,109.85
924:2899,2.45,109.95
924:2900,2.45,110.05
924:2901,2.45,110.15
924:2902,2.45,110.25
924:2903,2.45,110.35
924:2904,2.45,110.45
924:2905,2.45,110.55
924:2906,2.45,110.65
924:2907,2.45,110.75
924:2908,2.45,110.85
924:2909,2.45,110.95
924:2910,2.45,111.05
924:2911,2.45,111.15
924:2912,2.45,111.25
925:2814,2.55,101.45
925:2815,2.55,101.55
925:2816,2.55,101.65
925:2817,2.55,101.75
925:2838,2.55,103.85
925:2839,2.55,103.95
925:2840,2.55,104.05
925:2841,2.55,104.15
925:2842,2.55,104.25
925:2843,2.55,104.35
925:2844,2.55,104.45
925:2845,2.55,104.55
925:2846,2.55,104.65
925:2847,2.55,104.75
925:2848,2.55,104.85
925:2849,2.55,104.95
925:2898,2.55,109.85
925:2899,2.55,109.95
925:2900,2.55,110.05
925:2901,2.55,110.15
925:2902,2.55,110.25
925:2903,2.55,110.35
925:2904,2.55,110.45
925:2905,2.55,110.55
925:2906,2.55,110.65
925:2907,2.55,110.75
925:2908,2.55,110.85
925:2909,2.55,110.95
925:2910,2.55,111.05
925:2911,2.55,111.15
925:2912,2.55,111.25
926:2813,2.65,101.35
926:2814,2.65,101.45
926:2815,2.65,101.55
926:2837,2.65,103.75
926:2838,2.65,103.85
