cell_id,latitude,longitude,scientific_name,species_slug,label,label_source,observation_count,source_dataset_count,example_occurrence_id,example_dataset_name,example_event_date
921:2841,2.15,104.15,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,https://www.inaturalist.org/observations/205621743,iNaturalist research-grade observations,2024-04-05T14:37:59+08:00
926:2841,2.65,104.15,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,2,1,https://www.inaturalist.org/observations/153799099,iNaturalist research-grade observations,2023-03-25T10:31:40+08:00
927:2842,2.75,104.25,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,3,1,https://www.inaturalist.org/observations/84506508,iNaturalist research-grade observations,2016-05-22T15:47:00-07:00
928:2841,2.85,104.15,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,18,2,https://www.inaturalist.org/observations/167487796,iNaturalist research-grade observations,2023-05-31T15:19:00+08:00
928:2842,2.85,104.25,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,3,1,https://www.inaturalist.org/observations/166989935,iNaturalist research-grade observations,2023-05-31T11:23:00+08:00
929:2841,2.95,104.15,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,7,1,https://www.inaturalist.org/observations/352032943,iNaturalist research-grade observations,2026-04-20T10:52:00+08:00
941:2986,4.15,118.65,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,9,1,https://www.inaturalist.org/observations/152525801,iNaturalist research-grade observations,2006-01-12T02:48:00+08:00
942:2986,4.25,118.65,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,11,1,https://www.inaturalist.org/observations/222785486,iNaturalist research-grade observations,2024-06-06T11:37:00+08:00
942:2988,4.25,118.85,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,https://www.inaturalist.org/observations/196414010,iNaturalist research-grade observations,2013-02-04T17:07:00+08:00
943:2939,4.35,113.95,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,https://www.inaturalist.org/observations/27150158,iNaturalist research-grade observations,2019-06-17T09:28:00+08:00
944:2987,4.45,118.75,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,2,1,https://www.inaturalist.org/observations/310978631,iNaturalist research-grade observations,2025-09-02T15:50:16+08:00
945:2987,4.55,118.75,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,https://www.inaturalist.org/observations/246447603,iNaturalist research-grade observations,2018-02-02T01:31:18+08:00
945:2988,4.55,118.85,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,3,1,https://www.inaturalist.org/observations/68799311,iNaturalist research-grade observations,2018-12-18T18:04:00+11:00
945:2989,4.55,118.95,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,7,1,https://www.inaturalist.org/observations/245535953,iNaturalist research-grade observations,2024-10-04T15:04:03+08:00
946:2987,4.65,118.75,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,https://www.inaturalist.org/observations/263393677,iNaturalist research-grade observations,2013-05-09T03:49:00+08:00
946:2988,4.65,118.85,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,3,1,https://www.inaturalist.org/observations/317221383,iNaturalist research-grade observations,2025-09-10T10:04:00+08:00
947:2836,4.75,103.65,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,https://www.inaturalist.org/observations/347152366,iNaturalist research-grade observations,2026-04-02T09:32:00+08:00
948:2836,4.85,103.65,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,5,1,https://www.inaturalist.org/observations/379321786,iNaturalist research-grade observations,2026-07-05T13:00:00+08:00
956:2789,5.65,98.95,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,urn:catalog:S9-5:Asia-Pacific:Yu07.0063,Asia-Pacific Dataset,2004-05/2006-01
956:2830,5.65,103.05,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,2,1,https://www.inaturalist.org/observations/307988661,iNaturalist research-grade observations,2025-08-19T11:41:19+08:00
957:2828,5.75,102.85,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,https://www.inaturalist.org/observations/86708093,iNaturalist research-grade observations,2020-08-18
957:2829,5.75,102.95,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,https://www.inaturalist.org/observations/309422392,iNaturalist research-grade observations,2024-08-30T22:47:19+08:00
957:2830,5.75,103.05,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,10,2,https://www.inaturalist.org/observations/94200567,iNaturalist research-grade observations,2001-04-15
957:2956,5.75,115.65,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,https://www.inaturalist.org/observations/37954100,iNaturalist research-grade observations,2012-02-17T13:22:00-05:00
958:2802,5.85,100.25,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,2,1,https://www.inaturalist.org/observations/53049637,iNaturalist research-grade observations,2020-07-12
958:2827,5.85,102.75,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,10,1,https://www.inaturalist.org/observations/111755543,iNaturalist research-grade observations,2006-08-25T08:11:00+02:00
959:2826,5.95,102.65,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,3,1,https://www.inaturalist.org/observations/207919544,iNaturalist research-grade observations,2024-04-15T12:00:00+08:00
959:2827,5.95,102.75,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,23,1,https://www.inaturalist.org/observations/305952777,iNaturalist research-grade observations,2025-07-02T11:48:25+08:00
959:2959,5.95,115.95,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,3,1,https://www.inaturalist.org/observations/263176887,iNaturalist research-grade observations,2013-04-11T11:37:00+08:00
960:2800,6.05,100.05,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,https://www.inaturalist.org/observations/71781799,iNaturalist research-grade observations,2016-07-22T16:09:00+10:00
960:2959,6.05,115.95,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,5,1,https://www.inaturalist.org/observations/315795155,iNaturalist research-grade observations,2009-03-09T11:21:00+08:00
960:2960,6.05,116.05,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,40,1,https://www.inaturalist.org/observations/275425222,iNaturalist research-grade observations,2015-07-24T11:37:00+08:00
961:2797,6.15,99.75,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,https://www.inaturalist.org/observations/331864163,iNaturalist research-grade observations,2025-12-22T12:04:04+08:00
962:2797,6.25,99.75,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,https://www.inaturalist.org/observations/196848416,iNaturalist research-grade observations,2022-03-09T11:12:00+08:00
964:2796,6.45,99.65,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,https://www.inaturalist.org/observations/290677534,iNaturalist research-grade observations,2025-06-16T11:17:00+08:00
964:2963,6.45,116.35,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,https://www.inaturalist.org/observations/271109101,iNaturalist research-grade observations,2025-03-23T03:48:40+08:00
965:2979,6.55,117.95,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,3,1,https://www.inaturalist.org/observations/133911916,iNaturalist research-grade observations,2022-07-25T15:46:00+08:00
966:2963,6.65,116.35,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,https://www.inaturalist.org/observations/206443435,iNaturalist research-grade observations,2010-10-26T15:49:00+08:00
967:2963,6.75,116.35,Amphiprion ocellaris,ocellaris_clownfish,1,OBIS_presence_grid,1,1,https://www.inaturalist.org/observations/10132051,iNaturalist research-grade observations,2013-12-25T17:28:00+02:00
